Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
China,CHN,2020,Agricultural land (sq. km),AG.LND.AGRI.K2,5285081
China,CHN,2019,Agricultural land (sq. km),AG.LND.AGRI.K2,5285092
China,CHN,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,5285097
China,CHN,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,5285121
China,CHN,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,5285529
China,CHN,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,5286334
China,CHN,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,5286950
China,CHN,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,5288015
China,CHN,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,5287995
China,CHN,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,5288851
China,CHN,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,5289168
China,CHN,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,5290386
China,CHN,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,5284517.556
China,CHN,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,5278619.111
China,CHN,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,5272720.667
China,CHN,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,5266822.222
China,CHN,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,5260913.778
China,CHN,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,5255055.333
China,CHN,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,5249146.889
China,CHN,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,5243228.444
China,CHN,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,5237310
China,CHN,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,5237347.5
China,CHN,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,5237385
China,CHN,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,5237442.5
China,CHN,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,5237520
China,CHN,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,5237140
China,CHN,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,5237130
China,CHN,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,5191060
China,CHN,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,5151980
China,CHN,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,5122710
China,CHN,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,5065920
China,CHN,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,5003880
China,CHN,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,4942790
China,CHN,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,4886610
China,CHN,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,4833530
China,CHN,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,4772440
China,CHN,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,4654380
China,CHN,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,4538310
China,CHN,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,4434180
China,CHN,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,4338180
China,CHN,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,4285190
China,CHN,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,4239605
China,CHN,1978,Agricultural land (sq. km),AG.LND.AGRI.K2,4193960
China,CHN,1977,Agricultural land (sq. km),AG.LND.AGRI.K2,4134286.667
China,CHN,1976,Agricultural land (sq. km),AG.LND.AGRI.K2,4075333.333
China,CHN,1975,Agricultural land (sq. km),AG.LND.AGRI.K2,4016370
China,CHN,1974,Agricultural land (sq. km),AG.LND.AGRI.K2,3970290
China,CHN,1973,Agricultural land (sq. km),AG.LND.AGRI.K2,3903880
China,CHN,1972,Agricultural land (sq. km),AG.LND.AGRI.K2,3847810
China,CHN,1971,Agricultural land (sq. km),AG.LND.AGRI.K2,3801650
China,CHN,1970,Agricultural land (sq. km),AG.LND.AGRI.K2,3755180
China,CHN,1969,Agricultural land (sq. km),AG.LND.AGRI.K2,3709280
China,CHN,1968,Agricultural land (sq. km),AG.LND.AGRI.K2,3663130
China,CHN,1967,Agricultural land (sq. km),AG.LND.AGRI.K2,3627150
China,CHN,1966,Agricultural land (sq. km),AG.LND.AGRI.K2,3591120
China,CHN,1965,Agricultural land (sq. km),AG.LND.AGRI.K2,3555090
China,CHN,1964,Agricultural land (sq. km),AG.LND.AGRI.K2,3517060
China,CHN,1963,Agricultural land (sq. km),AG.LND.AGRI.K2,3488540
China,CHN,1962,Agricultural land (sq. km),AG.LND.AGRI.K2,3460010
China,CHN,1961,Agricultural land (sq. km),AG.LND.AGRI.K2,3432480
China,CHN,2020,Agricultural land (% of land area),AG.LND.AGRI.ZS,56.0768976600843
China,CHN,2019,Agricultural land (% of land area),AG.LND.AGRI.ZS,56.0770143746388
China,CHN,2018,Agricultural land (% of land area),AG.LND.AGRI.ZS,56.077067426709
China,CHN,2017,Agricultural land (% of land area),AG.LND.AGRI.ZS,56.0773345717245
China,CHN,2016,Agricultural land (% of land area),AG.LND.AGRI.ZS,56.0816654067681
China,CHN,2015,Agricultural land (% of land area),AG.LND.AGRI.ZS,56.090201435984
China,CHN,2014,Agricultural land (% of land area),AG.LND.AGRI.ZS,56.0967380472843
China,CHN,2013,Agricultural land (% of land area),AG.LND.AGRI.ZS,56.1080381401584
China,CHN,2012,Agricultural land (% of land area),AG.LND.AGRI.ZS,56.107828313151
China,CHN,2011,Agricultural land (% of land area),AG.LND.AGRI.ZS,56.1169108294991
China,CHN,2010,Agricultural land (% of land area),AG.LND.AGRI.ZS,56.1202755223834
China,CHN,2009,Agricultural land (% of land area),AG.LND.AGRI.ZS,56.1332002008976
China,CHN,2008,Agricultural land (% of land area),AG.LND.AGRI.ZS,56.0709365390941
China,CHN,2007,Agricultural land (% of land area),AG.LND.AGRI.ZS,56.0083515761775
China,CHN,2006,Agricultural land (% of land area),AG.LND.AGRI.ZS,55.9457666238713
China,CHN,2005,Agricultural land (% of land area),AG.LND.AGRI.ZS,55.8831828468425
China,CHN,2004,Agricultural land (% of land area),AG.LND.AGRI.ZS,55.8204876430821
China,CHN,2003,Agricultural land (% of land area),AG.LND.AGRI.ZS,55.7583318331087
China,CHN,2002,Agricultural land (% of land area),AG.LND.AGRI.ZS,55.695637819864
China,CHN,2001,Agricultural land (% of land area),AG.LND.AGRI.ZS,55.6328406499339
China,CHN,2000,Agricultural land (% of land area),AG.LND.AGRI.ZS,55.5700446698569
China,CHN,1999,Agricultural land (% of land area),AG.LND.AGRI.ZS,55.5703835980099
China,CHN,1998,Agricultural land (% of land area),AG.LND.AGRI.ZS,55.5707814882368
China,CHN,1997,Agricultural land (% of land area),AG.LND.AGRI.ZS,55.5713915865846
China,CHN,1996,Agricultural land (% of land area),AG.LND.AGRI.ZS,55.5722138930535
China,CHN,1995,Agricultural land (% of land area),AG.LND.AGRI.ZS,55.5681229787198
China,CHN,1994,Agricultural land (% of land area),AG.LND.AGRI.ZS,55.5683116756343
China,CHN,1993,Agricultural land (% of land area),AG.LND.AGRI.ZS,55.0794881942816
China,CHN,1992,Agricultural land (% of land area),AG.LND.AGRI.ZS,54.6648317659929
China,CHN,1991,Agricultural land (% of land area),AG.LND.AGRI.ZS,54.3542638628196
China,CHN,1990,Agricultural land (% of land area),AG.LND.AGRI.ZS,53.7516963458667
China,CHN,1989,Agricultural land (% of land area),AG.LND.AGRI.ZS,53.0934239607328
China,CHN,1988,Agricultural land (% of land area),AG.LND.AGRI.ZS,52.4452315041269
China,CHN,1987,Agricultural land (% of land area),AG.LND.AGRI.ZS,51.8491363623342
China,CHN,1986,Agricultural land (% of land area),AG.LND.AGRI.ZS,51.2859336188959
China,CHN,1985,Agricultural land (% of land area),AG.LND.AGRI.ZS,50.63774116229
China,CHN,1984,Agricultural land (% of land area),AG.LND.AGRI.ZS,49.3850713075365
China,CHN,1983,Agricultural land (% of land area),AG.LND.AGRI.ZS,48.1535162504364
China,CHN,1982,Agricultural land (% of land area),AG.LND.AGRI.ZS,47.0486499792566
China,CHN,1981,Agricultural land (% of land area),AG.LND.AGRI.ZS,46.0299978354703
China,CHN,1980,Agricultural land (% of land area),AG.LND.AGRI.ZS,45.4677506291991
China,CHN,1979,Agricultural land (% of land area),AG.LND.AGRI.ZS,44.9840737298242
China,CHN,1978,Agricultural land (% of land area),AG.LND.AGRI.ZS,44.49976020406
China,CHN,1977,Agricultural land (% of land area),AG.LND.AGRI.ZS,43.8665998951689
China,CHN,1976,Agricultural land (% of land area),AG.LND.AGRI.ZS,43.2410332117025
China,CHN,1975,Agricultural land (% of land area),AG.LND.AGRI.ZS,42.6154069789033
China,CHN,1974,Agricultural land (% of land area),AG.LND.AGRI.ZS,42.1264337326387
China,CHN,1973,Agricultural land (% of land area),AG.LND.AGRI.ZS,41.4217959192335
China,CHN,1972,Agricultural land (% of land area),AG.LND.AGRI.ZS,40.8268698207901
China,CHN,1971,Agricultural land (% of land area),AG.LND.AGRI.ZS,40.337092957866
China,CHN,1970,Agricultural land (% of land area),AG.LND.AGRI.ZS,39.8440268655766
China,CHN,1969,Agricultural land (% of land area),AG.LND.AGRI.ZS,39.3570087111526
China,CHN,1968,Agricultural land (% of land area),AG.LND.AGRI.ZS,38.8673379524017
China,CHN,1967,Agricultural land (% of land area),AG.LND.AGRI.ZS,38.4855751376702
China,CHN,1966,Agricultural land (% of land area),AG.LND.AGRI.ZS,38.1032818020733
China,CHN,1965,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.7209884664764
China,CHN,1964,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.3174742962641
China,CHN,1963,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.0148651946481
China,CHN,1962,Agricultural land (% of land area),AG.LND.AGRI.ZS,36.7121499888591
China,CHN,1961,Agricultural land (% of land area),AG.LND.AGRI.ZS,36.4200452003777
China,CHN,2020,Arable land (% of land area),AG.LND.ARBL.ZS,12.6765905798473
China,CHN,2019,Arable land (% of land area),AG.LND.ARBL.ZS,12.6767072944018
China,CHN,2018,Arable land (% of land area),AG.LND.ARBL.ZS,12.676760346472
China,CHN,2017,Arable land (% of land area),AG.LND.ARBL.ZS,12.6770178210856
China,CHN,2016,Arable land (% of land area),AG.LND.ARBL.ZS,12.6808167538056
China,CHN,2015,Arable land (% of land area),AG.LND.ARBL.ZS,12.6893569275309
